symbol_group_name,vmsize,filesize
MVKCmdDebugMarkerBegin,337,337
__glfwTerminateJoysticksCocoa,336,336
_vkCmdSetDepthBias,336,336
removeleaf(),336,336
_vkCmdEndRenderPass,332,332
_vkCmdEndRendering,332,332
MVKPipelineCommandEncoderState,329,329
MVKCmdDispatchIndirect,329,329
_vkCmdSetBlendConstants,328,328
b2EdgeAndPolygonContact,328,328
b2PolygonContact,328,328
_vkCmdSetDepthClampEnableEXT,324,324
_vkCreateDevice,324,324
dmStrError(),324,324
b2EdgeAndCircleContact,324,324
b2PolygonAndCircleContact,324,324
_vkCmdSetDepthBounds,320,320
_zdefault_* (library),320,320
_rescale_* (library),320,320
b2CircleContact,320,320
MVKStorageBufferDynamicDescriptor,320,320
MVKUniformBufferDynamicDescriptor,320,320
MVKMetalArgumentBuffer,320,320
_glfwInitHint,316,316
_vkCmdSetCullMode,316,316
_vkCmdSetDepthBiasEnable,316,316
_vkCmdSetDepthBoundsTestEnable,316,316
_vkCmdSetDepthClipEnableEXT,316,316
_vkCmdSetDepthCompareOp,316,316
_vkCmdSetDepthTestEnable,316,316
_vkCmdSetDepthWriteEnable,316,316
_vkCmdSetFrontFace,316,316
_vkCmdSetLineWidth,316,316
_vkCmdSetPatchControlPointsEXT,316,316
_vkCmdSetPolygonModeEXT,316,316
_vkCmdSetPrimitiveRestartEnable,316,316
_vkCmdSetPrimitiveTopology,316,316
_vkCmdSetRasterizerDiscardEnable,316,316
_vkCmdSetStencilTestEnable,316,316
b2EdgeSeparation(),316,316
dmHashReverse64Alloc(),316,316
_ZN28MVKPresentableSwapchainImage22presentCAMetalDrawableEPU27objcproto16MTLCommandBuffer11objc_* (library),316,316
_ConfigFileGetInt,312,312
_mmap_* (library),312,312
dmPoolAllocator,312,312
MVKCmdCopyQueryPoolResults,311,311
MVKStorageTexelBufferDescriptor,310,310
MVKUniformTexelBufferDescriptor,310,310
_ConfigFileGetFloat,308,308
__glfwCreateCursorCocoa,308,308
stbi__get16be(),308,308
_ZN26MVKComputePipelineCompiler26newMTLComputePipelineStateEP28MTLComputePipelineDescriptor_* (library),308,308
MVKInputAttachmentDescriptor,307,307
MVKStorageBufferDescriptor,305,305
MVKUniformBufferDescriptor,305,305
-[GLFWWindowDelegate windowDidResize:],304,304
SetContext(),304,304
_vkCmdSetSampleLocationsEnableEXT,304,304
_CONTEXT_* (library),304,304
MVKSampledImageDescriptor,304,304
MVKStorageImageDescriptor,304,304
_ZN25MVKRenderPipelineCompiler25newMTLRenderPipelineStateEP27MTLRenderPipelineDescriptor_* (library),304,304
_glfwGetJoystickButtons,300,300
_newtab,300,300
jc,300,300
mvkFormatFromOutput(),300,300
FontLoadFromMemory(),296,296
MVKCmdBeginQuery,291,291
_JobSystemCreateJob,288,288
__glfwSetCursorCocoa,288,288
__glfwSetWindowSizeCocoa,288,288
_cpwriter,288,288
_dmHashRelease64,288,288
-[GLFWContentView viewDidChangeBackingProperties],284,284
_close_* (library),284,284
_glfwGetJoystickAxes,284,284
_glfwGetJoystickHats,284,284
_jmp_* (library),284,284
_vkCreateSwapchainKHR,284,284
mvkSetGlobalConfig(),284,284
_reader_* (library),284,284
__glfwSetWindowAspectRatioNull,280,280
__glfwSetWindowSizeLimitsNull,280,280
_cpparser,280,280
-[GLFWContentView flagsChanged:],276,276
GBGetGlyph(),276,276
_mask,276,276
_matchbracketclass,276,276
_vkCreateInstance,276,276
btGjkEpaPenetrationDepthSolver,276,276
b2Timer,276,276
dmUtf8,276,276
MVKCmdWriteTimestamp,275,275
_glfwGetJoystickName,272,272
_tokennames,272,272
_vkDebugReportMessageEXT,272,272
_vkGetPhysicalDeviceImageFormatProperties,272,272
MVKCmdBindIndexBuffer,272,272
-[GLFWContentView insertText:replacementRange:],268,268
_dmHashBufferNoReverse64,268,268
MVKCompressor<>,264,264
_NV_* (library),264,0
_dmHashReverseErase64,260,260
_vkGetQueryPoolResults,260,260
_GOOGLE_* (library),260,0
_IMG_* (library),260,0
_INTEL_* (library),260,0
_four_* (library),256,256
_vkAllocateMemory,256,256
_vkCreateComputePipelines,256,256
_vkCreateGraphicsPipelines,256,256
_vkMapMemory,256,256
_vwin128,256,256
b2DistanceProxy,256,256
__glfwWaitEventsTimeoutCocoa,252,252
_set_* (library),252,252
_dmHashReverse32,252,252
_dmHashReverse64,252,252
_glfwCreateWindowSurface,252,252
_makeContextCurrentEGL,252,252
_vkCreateBuffer,252,252
_vkCreateBufferView,252,252
_vkCreateCommandPool,252,252
_vkCreateDebugReportCallbackEXT,252,252
_vkCreateDebugUtilsMessengerEXT,252,252
_vkCreateDescriptorPool,252,252
_vkCreateDescriptorSetLayout,252,252
_vkCreateDescriptorUpdateTemplate,252,252
_vkCreateEvent,252,252
_vkCreateFence,252,252
_vkCreateFramebuffer,252,252
_vkCreateHeadlessSurfaceEXT,252,252
_vkCreateImage,252,252
_vkCreateImageView,252,252
_vkCreateMacOSSurfaceMVK,252,252
_vkCreateMetalSurfaceEXT,252,252
_vkCreatePipelineCache,252,252
_vkCreatePipelineLayout,252,252
_vkCreateQueryPool,252,252
_vkCreateRenderPass,252,252
_vkCreateRenderPass2,252,252
_vkCreateSampler,252,252
_vkCreateSamplerYcbcrConversion,252,252
_vkCreateSemaphore,252,252
_vkCreateShaderModule,252,252
