symbol_group_name,vmsize,filesize
FontPackGlyphFaceColors(),357,434
ParseColor(),357,416
rsa_unblind,357,393
newtab,355,386
FontOutlineBoundsCubicTo(),354,451
dmHashBufferNoReverse64,353,401
timeout_getretry,353,394
_egl_* (library),352,500
SplitIntersectionSegment(),351,429
Particle_GetInstanceStats,350,400
abort_message,350,388
_auth_* (library),349,388
gc_mark,346,378
ProcessVBoundsAction,345,435
socket_accept,345,383
tcp_create,345,380
btPointCollector,345,664
onSaveInstanceState,344,388
gc_finalize,343,379
cpwriter,343,376
stbi__get16be(),342,401
debug_varname,341,379
dmHashEnableReverseHash,338,386
dmUtf8,338,524
entropy_update,337,376
_MorphWeightTrack_* (library),336,465
_opaque_* (library),335,382
_start_* (library),334,381
GlyphBankGetGlyph(),333,418
dmArrayUtil,332,397
_CHARSET_* (library),332,381
cpparser,331,364
DefoldError,330,366
_len_* (library),326,363
_SetParent_* (library),326,605
EvaluateSegmentPoint(),324,393
lj_parse,324,357
TextLayoutSetObjectStyle(),323,391
meth_connect,323,360
FontCreateGlyphBank(),321,396
onContentRectChanged,321,366
TextToCodePoints(),320,380
_zdefault_* (library),320,424
dmRenderDDF,320,1038
bcwrite_ktabk,319,357
hash_mprime,319,355
b2ContactFilter,319,540
glfwOpenWindowHint,318,361
__udivmodti4,318,355
JNIAttachCurrentThreadIfNeeded,317,372
_Transmission_* (library),317,512
inet_tryconnect,316,356
_CollectionProxyDesc_* (library),316,648
_SpriteTexture_* (library),316,601
_PathSettings_* (library),316,574
_StyleDesc_* (library),316,565
ResourceChunkCacheGet(),315,409
ov_clear,315,348
LZ4_resetStreamStateHC,314,361
onDestroy,314,348
nd_mul2k,314,347
_InstancePropertyDesc_* (library),314,541
_DisplayProfiles_* (library),314,535
_DisplayProfile_* (library),314,513
_TextureProfile_* (library),314,510
_AnimationSetDesc_* (library),314,514
_Data_* (library),314,495
_DrawText_* (library),314,495
ConfigFileGetString,313,357
strscan_bin,313,349
_VelocityResponse_* (library),312,449
_CollisionEvent_* (library),312,445
_TextureProfiles_* (library),312,443
_ParticleFX_* (library),312,439
_ApplyForce_* (library),312,437
_Skeleton_* (library),312,425
ov_read,311,343
dmEngineCreate(),310,357
_socket_* (library),310,354
