symbol_group_name,vmsize,filesize
dmHashReverse64Alloc(),744,834
dmURI,744,904
_zbuild_* (library),740,835
insertleaf(),736,824
[section .gnu.version],732,732
_TextureTransform_* (library),726,1468
_TileCell_* (library),726,1425
lj_bcread,720,778
_ContactPoint_* (library),720,897
_handshake_* (library),716,783
_Iridescence_* (library),716,1315
expr_primary,712,773
_MeshDesc_* (library),711,1446
_SetCamera_* (library),711,1211
_Reboot_* (library),708,1447
_Cubemap_* (library),708,1402
_ResourceEntry_* (library),703,1099
_EmbeddedComponentDesc_* (library),702,1240
b2GridAndPolygonContact,696,1209
_Sampler_* (library),694,1283
dmHashReverse64,692,780
dmHashReverse32,692,756
b2GridAndCircleContact,692,1200
b2StackAllocator,692,1123
b2Mat33,692,1011
btBoxBoxDetector,688,1166
[section .init_array],672,672
JobSystemSetParent,668,735
lex_number,668,727
[LOAD #2 [RX]],668,668
_cjson_* (library),668,822
parse_body,664,747
b2ChainAndPolygonContact,664,1206
b2CollidePolygonAndCircle(),660,804
b2ChainAndCircleContact,660,1173
_ctx_* (library),660,1323
_Value_* (library),654,980
glfwAndroidUpdateDpad,652,722
JobSystemCreate,648,736
dmConditionVariable,648,1165
b2PositionSolverManifold,644,784
__udivmodti4,640,725
b2CollideEdgeAndCircle(),636,774
res_unpack,636,695
jc,636,799
btEmptyAlgorithm,636,1847
decode_map,628,687
_prng_* (library),628,865
_TileLayer_* (library),627,1166
PutDone(),624,722
_RigAnimation_* (library),624,817
_SetGridShapeHull_* (library),624,809
btUnionFind,620,1025
_bc_* (library),616,733
_Create_* (library),614,955
_PbrMetallicRoughness_* (library),610,1058
_Clearcoat_* (library),610,966
ResourceChunkCachePut(),608,726
glfwAndroidFlushEvents,608,679
_IK_* (library),607,989
_LuaModule_* (library),606,1043
_PbrSpecularGlossiness_* (library),605,902
_drbg_* (library),604,677
btAxisSweep3,604,963
_RayCastResponse_* (library),600,807
_InputBinding_* (library),600,773
_vmevent_* (library),600,731
bcemit_store,596,657
_alg_* (library),588,663
lex_longstring,588,651
oggpack_look,584,645
_aead_* (library),580,719
_LuaSource_* (library),578,853
_classify_* (library),576,646
[section .dynamic],576,576
btMatrix3x3,576,917
intersectRectQuad2(),572,650
ll_loadfunc,572,632
_emutls_* (library),572,802
mgf_mask,564,645
_TextureFormatAlternative_* (library),561,1113
b2FindMaxSeparation(),560,698
_bisect_* (library),560,633
global_connect,560,623
_check_* (library),556,685
_crypt_* (library),552,896
_TileGrid_* (library),550,1032
_glfwAndroidPlatformGetWindowRefreshRate,548,637
bit_tohex,548,606
dmTrigLookup,544,701
_gxx_* (library),544,689
dmPPrint,536,821
parse_assignment,532,621
_PlatformProfile_* (library),530,816
_Struct_* (library),530,999
SelectAndPopJob(),528,651
_de_* (library),528,685
floor1_inverse2,528,592
_Vector4_* (library),524,1005
_Vector4WOne_* (library),524,1034
_Vector4One_* (library),524,1037
_Vector3One_* (library),524,1019
_Vector3_* (library),524,975
_Point3_* (library),524,969
_Quat_* (library),524,962
CancelJobInternal(),520,611
b2EdgeAndPolygonContact,520,1033
b2PolygonContact,520,998
_ManifestHeader_* (library),519,1059
JobSystemPushJob,516,581
b2PolygonAndCircleContact,516,1039
b2EdgeAndCircleContact,516,1024
_Volume_* (library),514,882
_TextureView_* (library),514,862
vwin256,512,544
_RigScene_* (library),512,1095
b2CircleContact,512,985
dmPhysicsDDF,512,2132
_Specular_* (library),509,789
_Sheen_* (library),509,781
engine_main(),508,600
_find_* (library),508,569
err_unwind,508,567
b2Draw,508,970
ResourcePreloader,508,658
_ManifestData_* (library),506,801
floor0_inverse1,504,568
make_current,504,565
_GamepadMapEntry_* (library),504,707
_CollisionResponse_* (library),504,691
_EventKey_* (library),499,950
_dict_* (library),496,587
ResourceChunkCacheEvictMemory(),488,592
bcread_fill,484,544
touchById,484,542
