symbol_group_name,vmsize,filesize
BroadphaseRayTester,360,631
BroadphaseAabbTester,360,610
_Collision_* (library),360,555
btPointCollector,360,799
ProcessVBoundsAction,356,470
_callback_* (library),356,421
strscan_hex,356,416
_std_* (library),356,477
ParseIndex(),352,444
inet_trybind,352,413
newtab,352,407
TestInternalObjects(),348,479
glfwWaitForAndroidWindow,348,421
_len_* (library),348,409
SupportVertexCallback,348,633
b2EdgeSeparation(),344,502
BuildDistancePolynomial(),344,459
GetOrCreateNamedStyle(),344,437
stbi__get16be(),344,427
glfwOpenWindowHint,344,411
_glfwShowKeyboard,344,410
_g_* (library),344,473
FontCollectionSetNamedStyle(),340,472
_terminate_* (library),340,423
FontTrueTypeGetFaceCount(),340,421
_call_* (library),340,406
gc_finalize,340,400
TextLayoutGetDecorationGeometry(),336,452
_glfwPlatformGetJoystickButtons,336,440
_ktabk_* (library),336,410
_toreg_* (library),336,404
_MorphWeightTrack_* (library),336,513
b2Timer,336,588
_select_* (library),332,420
_CHARSET_* (library),332,405
_sw_* (library),332,391
btSingleSweepCallback,332,592
_gather_* (library),328,400
_start_* (library),328,399
auxiliar_tostring,328,394
entropy_update,328,391
parse_label,328,388
_SetParent_* (library),326,731
SplitIntersectionSegment(),324,450
debug_putchunkname,324,391
meth_setpeername,324,389
socket_accept,324,386
[section .text],324,324
btSingleRayCallback,324,578
PushOutlineCommand(),320,471
meth_send,320,450
_opaque_* (library),320,391
glfwGetWindowParam,320,387
poly1305_process,320,385
expr_discharge,320,383
meth_accept,320,380
mmap_probe,320,379
cpwriter,320,377
lj_parse,320,377
_zdefault_* (library),320,472
dmRenderDDF,320,1278
_Transmission_* (library),317,584
ResourceChunkCacheGet(),316,434
debug_framepc,316,378
_sub_* (library),316,376
close_state,316,376
tcp_create,316,375
_CollectionProxyDesc_* (library),316,744
_SpriteTexture_* (library),316,721
_PathSettings_* (library),316,670
_StyleDesc_* (library),316,661
_InstancePropertyDesc_* (library),314,643
_DrawText_* (library),314,591
_DisplayProfiles_* (library),314,607
_DisplayProfile_* (library),314,585
_TextureProfile_* (library),314,582
_AnimationSetDesc_* (library),314,600
_Data_* (library),314,591
Particle_IsSleeping,312,404
dmHashBufferNoReverse64,312,384
btActivatingCollisionAlgorithm,312,795
_VelocityResponse_* (library),312,521
_CollisionEvent_* (library),312,493
_TextureProfiles_* (library),312,491
_ParticleFX_* (library),312,511
_ApplyForce_* (library),312,485
_Skeleton_* (library),312,473
PointCurveDistanceSquaredFromRoots(),308,436
ParseColor(),308,391
FontLoadFromMemory(),308,386
ciphersuite_preference,308,379
rsa_unblind,308,368
cpparser,308,365
TextLayoutSetObjectStyle(),304,396
timeout_getretry,304,369
meth_connect,304,365
copy_slot,304,362
btCollisionAlgorithm,304,676
RecvTimeout(),300,395
_decode_* (library),300,392
abort_message,300,386
bcwrite_ktabk,300,362
_fff_* (library),300,694
sprintf(),296,454
FontCreateGlyphVertexDeclaration(),296,413
GlyphBankGetGlyph(),296,405
TextToCodePoints(),296,380
JNIGetMethodID,296,359
nd_mul2k,296,353
FontGetDecorationFaceColors(),292,428
_phase2_* (library),292,361
inet_tryconnect,292,356
_auth_* (library),292,355
_MouseTrigger_* (library),290,578
_TextTrigger_* (library),290,575
_GamepadTrigger_* (library),290,560
_TouchTrigger_* (library),290,554
_KeyTrigger_* (library),290,548
oggpack_read,289,350
bit_band,288,393
dmHashEnableReverseHash,288,360
ctype_preptype,288,351
strscan_bin,288,348
bit_bxor,288,345
bit_bor,288,344
_EventTrack_* (library),288,453
dmSystemDDF,288,1177
dmGameObjectDDF,288,1230
FontOutlineBoundsMerge(),284,385
FontPackGlyphFaceColors(),284,385
FontCreateGlyphBank(),284,383
ov_read,284,364
hash_mprime,284,344
_glfwAndroidSetFullscreenParameters,280,364
bcemit_INS,280,339
