symbol_group_name,vmsize,filesize
_ResourceTypeLight285,128,128
_ResourceTypeLua195,128,128
_ResourceTypeOgg410,128,128
_ResourceTypeOpus411,128,128
_ResourceTypeScript151,128,128
_ResourceTypeTTF103,128,128
_ResourceTypeWav412,128,128
_ScriptTypesExt160,128,0
__glfwPlatformAcquireAuxContextOpenGL,128,128
_dooptions,128,128
_vwin64,128,128
rmtp_Components(),128,128
rmtp_GameObject(),128,128
rmtp_Graphics(),128,128
rmtp_Message(),128,128
rmtp_Model(),128,128
rmtp_ParticleFx(),128,128
rmtp_Particles(),128,128
rmtp_Render(),128,128
rmtp_Script(),128,128
rmtp_Sound(),128,128
rmtp_Sprite(),128,128
rmtp_Tilemap(),128,128
_dmResourceDDF_* (library),128,128
dmPhysicsDDF,128,128
-[SoundApplicationDelegate applicationDidBecomeActive:],124,124
GBGetGlyphIndex(),124,124
TextLayoutAcquire(),124,124
_libsize,124,124
_treatstackoption,124,124
_depth_* (library),124,124
CProfileNode,124,124
-[ViewController viewDidLoad],120,120
_glfwRegisterUIApplicationDelegate,120,120
engine_main(),120,120
-[BaseView deleteBackward],116,116
-[BaseView textInRange:],116,116
-[BaseView touchStart:withTouch:],116,116
_ContextRegistryGet,116,116
__glfwInputMouseClick,116,116
_free_* (library),116,116
btPointCollector,116,116
-[ViewController getIntendedViewSize],112,112
__glfwPlatformPollEvents,112,112
__glfwThrd,112,0
_ctoknames,112,112
_dmHashReverseSafe64Alloc,112,112
btAlignedAllocInternal(),112,112
dmTime,112,112
_barklook,110,110
-[BaseView textRangeFromPosition:toPosition:],104,104
-[EAGLView teardownView],104,104
ResourceRegisterTypeCreatorDesc(),104,104
_JobSystemCancelJob,104,104
_ZN15dmDeviceAVAudioL18DeviceAVAudioQueueEPvPKvj_* (library),104,104
_determine_* (library),104,104
__glfwLibrary,104,0
_glfwCloseWindow,104,104
_glfwSwapBuffers,104,104
FontCollectionRemoveFont(),100,100
_readable,100,100
_select_* (library),100,100
BroadphaseAabbTester,100,100
BroadphaseRayTester,100,100
+[IndexedRange rangeWithNSRange:],96,96
